Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,2,3,11,30,79,956,660,-3.2949890136718523,17.861962890625023,960.1976318359375,23.483253479003906,9.412593841552734,97.98090362548828,4.710797309875488
2005,2,3,12,0,81,965,692,-3.0709594726562273,18.574395751953148,959.7113037109375,22.83416748046875,9.584731101989746,100.41303253173828,4.59341287612915
2005,2,3,12,30,81,969,707,-2.8468383789062273,18.973382568359398,959.1717529296875,22.645957946777344,9.733755111694336,100.41303253173828,4.463623046875
2005,2,3,13,0,81,968,705,-2.6265930175781023,19.372399902343773,958.6322631835938,22.45380401611328,9.882779121398926,102.09532928466797,4.33383321762085
2005,2,3,13,30,80,962,685,-2.4779113769531023,19.446893310546898,958.31787109375,22.59748077392578,10.009176254272461,102.09532928466797,4.252171039581299
2005,2,3,14,0,79,950,649,-2.3308166503906023,19.521417236328148,958.0034790039062,22.73915672302246,10.135574340820312,103.28662872314453,4.170508861541748
2005,2,3,14,30,76,933,597,-2.2674316406249773,19.253808593750023,957.8701171875,23.22937774658203,10.19857406616211,103.28662872314453,4.129411697387695
2005,2,3,15,0,165,532,434,-2.2043823242187273,18.986199951171898,957.7367553710938,23.73036003112793,10.261573791503906,104.90489959716797,4.088314533233643
2005,2,3,15,30,68,871,452,-1.7901062011718523,18.241937255859398,957.7239990234375,25.632614135742188,10.299288749694824,104.90489959716797,3.8971199989318848
2005,2,3,16,0,62,820,361,-1.3865112304687273,17.497705078125023,957.7113037109375,27.670080184936523,10.337004661560059,104.90248107910156,3.705925464630127
2005,2,3,16,30,54,745,264,-0.42841186523435226,15.918756103515648,957.8798828125,32.8056526184082,10.327488899230957,104.90248107910156,3.5622291564941406
2005,2,3,17,0,44,626,162,0.47539672851564774,14.339837646484398,958.0485229492188,38.76846694946289,10.317974090576172,99.73853302001953,3.418532609939575
2005,2,3,17,30,28,421,67,0.5015808105468977,13.639337158203148,958.3619995117188,40.64673614501953,10.230067253112793,99.73853302001953,3.5970067977905273
2005,2,3,18,0,0,0,0,0.5273681640625227,12.938836669921898,958.6754760742188,42.62539291381836,10.142160415649414,93.97394561767578,3.7754812240600586
2005,2,3,18,30,0,0,0,0.32790527343752274,12.658135986328148,958.861328125,42.79431915283203,10.008523941040039,93.97394561767578,4.0432233810424805
2005,2,3,19,0,0,0,0,0.12563476562502274,12.377435302734398,959.0471801757812,42.9559211730957,9.87488842010498,90.88954162597656,4.310965538024902
2005,2,3,19,30,0,0,0,-0.027716064453102263,12.122186279296898,959.1697387695312,43.19981002807617,9.72097110748291,90.88954162597656,4.566568374633789
2005,2,3,20,0,0,0,0,-0.18271484374997726,11.866937255859398,959.2922973632812,43.44068145751953,9.567052841186523,90.8889389038086,4.822170734405518
2005,2,3,20,30,0,0,0,-0.29080810546872726,11.525903320312523,959.4473876953125,44.08214569091797,9.437983512878418,90.8889389038086,4.965554714202881
2005,2,3,21,0,0,0,0,-0.39981689453122726,11.184869384765648,959.6025390625,44.73244857788086,9.308913230895996,91.39395141601562,5.108938694000244
2005,2,3,21,30,0,0,0,-0.49225463867185226,10.756219482421898,959.489990234375,45.71508026123047,9.236894607543945,91.39395141601562,5.14317512512207
2005,2,3,22,0,0,0,0,-0.5854248046874773,10.327569580078148,959.3775024414062,46.7211799621582,9.164876937866211,90.31340789794922,5.177411079406738
2005,2,3,22,30,0,0,0,-0.6928771972656023,9.894738769531273,959.2781982421875,47.71736145019531,9.15278434753418,90.31340789794922,5.153957366943359
2005,2,3,23,0,0,0,0,-0.8012145996093523,9.461907958984398,959.1788940429688,48.73609924316406,9.140691757202148,87.76243591308594,5.1305036544799805
2005,2,3,23,30,0,0,0,-0.9168457031249773,9.078485107421898,959.1552734375,49.589271545410156,9.158164978027344,87.76243591308594,5.101917266845703
2005,2,4,0,0,0,0,0,-1.0334838867187273,8.695031738281273,959.1317138671875,50.45735168457031,9.175639152526855,85.01988983154297,5.073330879211426
2005,2,4,0,30,0,0,0,-1.1683410644531023,8.358331298828148,958.931640625,51.113502502441406,9.207537651062012,85.01988983154297,5.035578727722168
2005,2,4,1,0,0,0,0,-1.3044494628906023,8.021630859375023,958.7316284179688,51.77607727050781,9.239436149597168,82.95038604736328,4.997826099395752
2005,2,4,1,30,0,0,0,-1.4200500488281023,7.878137207031273,958.6470947265625,51.842403411865234,9.286615371704102,82.95038604736328,4.98490047454834
2005,2,4,2,0,0,0,0,-1.5365051269531023,7.734643554687523,958.5625610351562,51.90562438964844,9.333795547485352,80.78656768798828,4.971974849700928
2005,2,4,2,30,0,0,0,-1.6042541503906023,7.711083984375023,958.4212646484375,51.73093032836914,9.46247673034668,80.78656768798828,4.95383358001709
2005,2,4,3,0,0,0,0,-1.6722473144531023,7.687493896484398,958.2799682617188,51.55575180053711,9.591157913208008,78.82781219482422,4.93569278717041
